No,Concepto,Definición
219,Infraestructura urbana,"Conjunto de obras que constituyen los soportes del funcionamiento de las ciudades y que hacen posible el uso del suelo urbano: accesibilidad, saneamiento, encauzamiento, distribución de aguas y energía, comunicaciones, etcétera. Esto es, el conjunto de redes básicas de conducción y distribución: vialidad, agua potable, alcantarillado, energía eléctrica, gas y teléfono, entre otras, que hacen viable la movilidad de personas, abasto y carga en general, la dotación de fluidos básicos, la conducción de gas y la evacuación de los desechos urbanos.

Fuente: 
S/D. (2015). Equipamiento, infraestructura y accesibilidad. de Slideshare.net

Sitio(s) web:
https://es.slideshare.net/vmactz/equipamiento-infraestructura-y-accesibilidad
"
220,Instrumentos de ordenación y planificación,"Herramientas ligadas a metodologías, normativas y directrices al servicio y practica del análisis espacial y la planificación territorial, estratégica, física y urbanística, correspondientes a la base estadística, modelos espaciales, cartografía, sistemas de información geográfica y normativa jurídica, con los cuales se posibilita el análisis y planificación de fenómenos de la realidad social, ambiental y el territorio en sus diferentes escalas, regiones y sectores.

Fuente: 
Definición realizada con base en el documento: Diccionario de Geografía Aplicada y Profesional. Terminología de análisis, planificación y gestión del territorio. Pág. 340

"
221,Interacción urbana,"Interacción recíproca entre dos o más ciudades en función de los flujos existentes entre ellas, relacionadas con las diversas actividades urbanas; flujos comerciales económicos, de población y de servicios.

Fuente: 
Universidad Nacional Autónoma de México (UNAM). Glosario de términos de las metrópolis mexicanas: economía y finanzas.

Sitio(s) web:
http://www.economia.unam.mx/cedrus/pdf/Glosario%20modificado.pd
"
222,Intersecciones,"Espacio que se forma por el cruce de dos (o más) calles, a partir del trazado de una línea imaginaria entre las esquinas de las manzanas que tributan a ella. No incluye las aceras.

Fuente: 
Oficina del Historiador de la Habana, Plan Maestro. Glosario de términos urbanísticos.

Sitio(s) web:
http://www.planmaestro.ohc.cu/index.php/instrumentos/glosario
"
223,Jardín,"Espacio semipúblico descubierto dentro de la parcela, dedicado a la ubicación de áreas verdes. En este territorio se presenta excepcionalmente en algunas edificaciones memoriales y civil-públicas.

Fuente: 
Oficina del Historiador de la Habana, Plan Maestro. Glosario de términos urbanísticos.

Sitio(s) web:
http://www.planmaestro.ohc.cu/index.php/instrumentos/glosario
"
224,Jerarquía urbana,"Diferenciación manifiesta, dentro de parámetros convencionales, de la importancia de una o varias ciudades o de un sistema o conjunto de ciudades, considerando un orden o graduación de dicha importancia. La diferenciación de importancia puede ser de carácter total o parcial: física, económica, funcional, etcétera.

Fuente: 
Normand Eduardo Asuad. (SD). El Fenómeno Metropolitano: Enfoques, Desafíos y Soluciones. México: SD.

"
225,Laderas,"Costados inclinados de un cerro o montaña.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos.

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
226,Legislación sobre movilidad,"Conjunto de leyes y normas que regulan la movilidad de personas y mercancías.

Fuente: 
Instituto Sindical de Trabajo, Ambiente y Salud, ISTAS. Glosario de movilidad sostenible. Página 57.

"
227,Legislación urbanística,"Conjunto de normas, estatales y autonómicas que regulan el proceso de urbanización y la ordenación del territorio.

Fuente: 
Universidad de Alicante, Laboratorio Climatología. Diccionario y glosario en ordenación del territorio.

Sitio(s) web:
https://web.ua.es/es/labclima/diccionario-y-glosario-en-ordenacion-del-territorio.html#letraL
"
228,Lago,"Depresión de la superficie terrestre, de mayor o menor extensión, que da forma a un gran cuerpo de agua estancada, dulce o salada, que posee una corriente inapreciable y que tiene una playa periférica estrecha desprovista de gran parte de vegetación como resultado de la acción de las olas.

Fuente: 
Inventario Nacional de Humedales de México. (2012). Glosario General de Términos del Desarrollo de la Base Metodológica para el Inventario Nacional de Humedales de México. México: SD.

"
229,Laguna,"Depósito natural de agua, generalmente dulce y de menores dimensiones que el lago (entre 1 y 12 metros de profundidad, por lo que su fondo está iluminado) y debe ser arcilloso o rocoso para que el agua no se filtre.

Fuente: 
Inventario Nacional de Humedales de México. (2012). Glosario General de Términos del Desarrollo de la Base Metodológica para el Inventario Nacional de Humedales de México. México: SD.

"
230,Licencia,"El acto administrativo mediante el cual se precisan los derechos y obligaciones específicos para ejecutar obras o realizar acciones determinadas, en relación con una persona física o jurídica determinada, que deberán cumplirse en el plazo o término que se establezca. Cuando una licencia se emita en forma simultánea con una autorización, para su vigencia o efectos indefinidos o limitados, se entenderán como dos actos administrativos diversos.

Fuente: 
Secretaría de Medio Ambiente y Desarrollo Territorial del Estado de Jalisco. (2008). Código Urbano para el estado de Jalisco. México: H. Congreso del Estado de Jalisco.

"
231,Límite,"Línea común divisora entre dos países, estados, municipios y/o delegaciones.

Fuente: 
Instituto Nacional de Estadística y Geografía. (2013). Diccionario de Datos Catastrales Escala 1:1 000. México: INEGI.

"
232,Límite de propiedad,"Lindero o línea que confina físicamente la titularidad o posesión de un terreno o parcela.

Fuente: 
Oficina del Historiador de la Habana, Plan Maestro. Glosario de términos urbanísticos.

Sitio(s) web:
http://www.planmaestro.ohc.cu/index.php/instrumentos/glosario
"
233,Límite urbano,"Línea que marca el borde o fin de un área urbana, o bien que ha sido establecida legalmente como límite de la expansión física de una ciudad determinada.

Fuente: 
Pontificia Universidad Católica de Valparaíso. Glosario de términos de Geografía Urbana. Página 3

"
234,Línea de tren metropolitano,"Vía de comunicación terrestre por donde circula el ferrocarril eléctrico (metro).

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Diccionario de Datos de Localidades Urbanas (Vectorial).

Sitio(s) web:
http://recursos.inegi.org.mx/geo/contenidos/urbana/doc/diccionario_datos_localidades_urbanas_ver_definitiva_se
"
235,Localidad,"Todo lugar ocupado por una o más viviendas habitadas. El lugar se reconoce con un nombre dado por la ley (nombre oficial) o por la costumbre.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario: Actualización del Marco Censal Agropecuario 2016.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=amcag2016
"
236,Localidad rural,"Es una localidad que cuenta con menos de 2 500 habitantes y no es cabecera municipal.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario: Actualización del Marco Censal Agropecuario 2016.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=amcag2016
"
237,Localidad urbana,"Es la que cuenta con 2 500 habitantes o más, o bien, es una cabecera municipal, aunque tenga menos de 2 500 habitantes.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario: Actualización del Marco Censal Agropecuario 2016.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=amcag2016
"
238,Lomeríos,"Elevaciones de tierra de altura pequeña y prolongada.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos.

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
239,Lote,"Espacio carente de edificación o infraestructura, establecido por el diseñador urbano para el aprovechamiento de grandes áreas en proceso de urbanización (previa autorización de las autoridades correspondientes) para destinarles un uso de suelo establecido según la zonificación secundaria establecidas en los instrumentos de planeación en materia de ordenamiento territorial y desarrollo urbano vigentes.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Sociodemográficas: Otros Censos y Encuestas; Características de las localidades y del entorno urbano 2014.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=entorno
"
240,Lote baldío,"Fracción de terreno no edificado, de tipo rústico o urbano, que por sus características de ubicación está confinado dentro del límite del centro de población que cuentan con vialidades y accesos, toda o casi toda la infraestructura y equipamiento suficiente para su desarrollo y que por su vocación debe ser o estar considerado dentro de los planes y programas de desarrollo urbano sustentable.

Fuente: 
Gobierno del Estado de Puebla. Capítulo Único. En Ley de Fraccionamientos y Acciones Urbanísticas del Estado Libre y soberano de Puebla (12). Puebla, México: Secretaría de Gobernación.

"
241,Lotes irregulares vacantes,"Lotes que no están habitados, que no presentan construcciones y que se ubican en un polígono donde las Instancias Ejecutoras se encuentren regularizando.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano. (2020). REGLAS de Operación del Programa de Mejoramiento Urbano, para el ejercicio fiscal 2021. Diario Oficial de la Federación.

"
242,Manantial,"Fuente natural de agua que fluye a partir de aguas subterráneas, atraviesa la roca, sedimento o suelo y luego fluye sobre la superficie de la tierra.

Fuente: 
Definición elaborada con base en la consulta y análisis de GeoEnciclopedia.

Sitio(s) web:
https://www.geoenciclopedia.com/manantiales/
"
243,Mancha urbana,"Superficie construida y ocupada por asentamientos humanos de un centro de población.

Fuente: 
Secretaría de Ecología y Desarrollo Urbano del Municipio Benito Juárez. (2014). Programa de Desarrollo Urbano del Centro de Población de Cancún, Municipio Benito Juárez, Quintana Roo (2014-2030). México: Honorable Ayuntamiento de Benito Juárez.

"
244,Manglar,"Es una comunidad densa, dominada principalmente por un grupo de especies arbóreas conocidas como mangles, que se distribuye en los litorales del Océano Pacífico, Golfo de California y Océano Atlántico, en zonas con climas cálidos húmedos y subhúmedos y de muy baja altitud.

Fuente: 
Instituto Nacional de Estadística y Geografía. (2017). Guía para la interpretación de cartografía Uso del Suelo y Vegetación escala 1:250 000, serie VI. (México). INEGI.

"
245,Manzana,"Superficie geográfica delimitada por calles, andadores, vías peatonales u otros rasgos identificables y está constituida por un grupo de viviendas, edificios, lotes o terrenos destinados a uso habitacional, comercial, industrial o de servicios, entre otros.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario: Actualización del Marco Censal Agropecuario 2016.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=amcag2016
"
246,Marco Geoestadístico,"Sistema único y de carácter nacional diseñado por el INEGI, para referir geográficamente la información estadística de los censos, las encuestas y los registros administrativos. Es la división del país en Áreas Geoestadísticas con tres niveles de desagregación: Estatal (AGEE), Municipal (AGEM) y a nivel de grupo de manzanas dentro de un mismo municipio (AGEB).

Fuente: 
Instituto Nacional de Estadística y Geografía. (2019) Norma Técnica para la incorporación y actualización de información en el Registro Estadístico de Negocios de México.

Sitio(s) web:
https://www.snieg.mx/Documentos/Normatividad/Vigente/nt_renem.pdf
"
247,Marginación,"Segregación de sectores de la población del acceso a múltiples satisfactores de carácter social, socioeconómico y político.

Fuente: 
Gobierno de la Delegación Miguel Hidalgo. (1997). PROGRAMA Delegacional de Desarrollo Urbano de Miguel Hidalgo. México: Delegación Miguel Hidalgo.

"
248,Matorrales,"Vegetación arbustiva de altura, composición florística y densidad variables. Se encuentra generalmente en regiones áridas y semiáridas.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
249,Medio ambiente,"Todo aquello que nos rodea: flora, fauna, objetos inanimados (montañas, ríos, lagos, mar), clima, obras hechas por el humano, la gente, etcétera.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos. (2018).

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
250,Megalópolis,"Sistema de zonas metropolitanas y centros de población y sus áreas de influencia, vinculados de manera estrecha geográfica y funcionalmente. El umbral mínimo de población de una Megalópolis es de 10 millones de habitantes.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano. (Art. 3. Frac. XXIII).

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5462755&fecha=28/11/2016
"
251,Mejoramiento,"La acción tendente a reordenar, renovar, consolidar y dotar de infraestructura, equipamientos y servicios, las zonas de un Centro de Población de incipiente desarrollo, subutilizadas o deterioradas física o funcionalmente.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano. (Art. 3. Frac. XXIV).

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5462755&fecha=28/11/2016
"
252,Mejoramiento de vivienda,"La acción tendiente a consolidar o renovar las viviendas deterioradas física o funcionalmente, mediante actividades de ampliación, reparación, reforzamiento estructural o rehabilitación que propicien una vivienda digna y decorosa.

Fuente: 
Habitat International Coalition. América Latina (HIC-AL). (2017). Glosario.

Sitio(s) web:
http://archivos.hic-al.org/glosario.html
"
253,Mejoramiento urbano,"Concepto que incluye la regeneración y consolidación urbana, procesos dinámicos ambos, que se distinguen porque el primero hace referencia a las acciones encaminadas a suprimir las causas del deterioro urbano en zonas específicas o en la totalidad de la urbe, mientras que la consolidación implica acciones orientadas a superar deficiencias y carencias en los asentamientos humanos relativamente recientes o en procesos de poblamiento.

Fuente: 
Habitat International Coalition. América Latina (HIC-AL). (2017). Glosario.

Sitio(s) web:
http://archivos.hic-al.org/glosario.html
"
254,Mezquital tropical,"Se desarrolla en condiciones de trópico seco, donde sus elementos, por lo general son árboles medianos (entre 5 y 10 m de altura, a veces más) de Mezquite (Prosopis spp.); esta comunidad se encuentra asociada con las selvas bajas espinosas y caducifolias; así como del matorral subtropical; se distribuye en el noroeste, noreste y parte del centro del país.

Fuente: 
Instituto Nacional de Estadística y Geografía. (2017). Guía para la interpretación de cartografía Uso del Suelo y Vegetación escala 1:250 000, serie VI. (México). INEGI.

"
255,Mezquital xerófilo,"Este tipo de comunidad se desarrolla desde los 100 hasta los 2 300 m de altitud. Se presenta principalmente en llanuras, y en menor proporción sobre sierras y lomeríos. Los principales elementos son de porte arbustivo asociados con otros tipos de matorrales xerófilos como el matorral desértico micrófilo.

Fuente: 
Instituto Nacional de Estadística y Geografía. (2017). Guía para la interpretación de cartografía Uso del Suelo y Vegetación escala 1:250 000, serie VI. (México). INEGI.

"
256,Migración,"Cambio de lugar de residencia habitual de las personas desde un municipio o delegación, entidad federativa o país de origen, a otro de destino.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Sociodemográficas: Censos y conteos de población; Censo de población y vivienda 2010.

Sitio(s) web:
https://inegi.org.mx/app/glosario/default.html?p=cpv2010
"
257,Minería,"Unidades económicas dedicadas principalmente a la explotación de carbón mineral, minerales metálicos y no metálicos, y al beneficio de estos con el fin de obtener concentrados y precipitados.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Estadísticas del Medio Ambiente. Glosario.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
258,Mitigación del cambio climático,"Son las actividades realizadas por el hombre para reducir las emisiones de gases de efecto invernadero producto de las actividades antropogénicas, fomentando los sumideros que capturan bióxido de carbono y otros gases de efecto invernadero de la atmósfera.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario: Estadísticas de gobierno; Censo nacional de gobierno, seguridad pública y sistema penitenciario estatales. (2020).

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=CNGSPSPE2020
"
259,Mobiliario urbano,"Cualquier elemento o componente urbano complementario, permanente, fijo, móvil o temporal, que sirve de apoyo al equipamiento urbano y a la infraestructura y que refuerza la imagen urbana o permite la prestación de los servicios o la realización de actividades económicas.

Fuente: 
Secretaría de Gestión Urbanística y Ordenamiento Territorial. (2013). Código de Ordenamiento Territorial, Desarrollo Urbano y Vivienda para el Estado de Aguascalientes. Aguascalientes: Periódico Oficial del Estado de Aguascalientes.

"
260,Monumentos arqueológicos,"Los bienes muebles e inmuebles producto de culturas anteriores al establecimiento de la cultura hispana en el territorio Nacional, así como los restos humanos, de la flora y de la fauna, relacionados con estas culturas.

Fuente: 
Secretaría de Comunicaciones y Obras Públicas del Estado de Durango. (2002). Ley General de Desarrollo Urbano para el Estado de Durango. México: Congreso del Estado de Durango.

"
261,Monumentos artísticos,"Las obras que revisten valor estético relevante.

Fuente: 
Secretaría de Comunicaciones y Obras Públicas del Estado de Durango. (2002). Ley General de Desarrollo Urbano para el Estado de Durango. México: Congreso del Estado de Durango.

"
262,Monumentos históricos,"Los bienes vinculados con la historia de la Nación, a partir del establecimiento de la cultura hispana en el país, en los términos de la Ley Federal sobre Monumentos y Zonas Arqueológicas, Artísticas e Históricas.

Fuente: 
Secretaría de Comunicaciones y Obras Públicas del Estado de Durango. (2002). Ley General de Desarrollo Urbano para el Estado de Durango. México: Congreso del Estado de Durango.

"
263,Mortalidad,"Fenómeno demográfico que observa las defunciones o fallecimientos que ocurren en una población durante un tiempo determinado.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Sociodemográficas: Censos y conteos de población; Censo de población y vivienda 2010.

Sitio(s) web:
https://inegi.org.mx/app/glosario/default.html?p=cpv2010
"
264,Monumentos naturales,"Áreas con uno o más ecosistemas que se signifiquen por su belleza escénica, su valor científico, educativo, de recreo, su valor histórico, por la existencia de flora y fauna, por su aptitud para el desarrollo del turismo, o por otras razones análogas de interés general.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
265,Movilidad,"Capacidad, facilidad y eficiencia de tránsito o desplazamiento de las personas y bienes en el territorio, priorizando la accesibilidad universal, así como la sustentabilidad de la misma.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano. (Art. 3. Frac. XXV)

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5462755&fecha=28/11/2016
"
266,Movilidad urbana sustentable,"Se refiere a aquellos desplazamientos multimodales, seguros y eficientes que propician la reducción del uso de vehículos particulares motorizados y se realizan en condiciones de equidad, tanto en las vialidades como en el espacio público de un área urbana consolidada. Los proyectos para la movilidad urbana sustentable deben facilitar el acceso de las personas a los bienes, servicios y equipamientos urbanos; y mejorar su calidad de vida al elevar la productividad de la ciudad, reducir las emisiones de gases efecto invernadero en favor del medio ambiente y facilitar la adaptación de sus habitantes ante el cambio climático.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Programa Sectorial de Desarrollo Agrario, Territorial y Urbano 2013-2018.

Sitio(s) web:
http://www.dof.gob.mx/nota_detalle.php?codigo=5326473&fecha=16/12/2013
"
267,Municipio,"Es una entidad política y una organización comunal; sirve de base para la división territorial y la organización política y administrativa de los estados de la federación en su régimen interior. Por lo tanto, el municipio es la célula básica de la división política del país, como lo establece el artículo 115 constitucional.

Fuente: 
SEGOB e INAFED. (2015). Programa Agenda para el Desarrollo Municipal 2015. Glosario de términos. México: Secretaría de Gobernación.

"
268,NAME,"Volumen que puede almacenar una presa al Nivel de Aguas Máximas Extraordinarias.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
269,NAMO,"Volumen que puede almacenar una presa al Nivel de Aguas Máximas Ordinarias o de Operación.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
270,Nevada,"Precipitación atmosférica sólida en pequeños cristales de hielo en forma hexagonal o estrellada que se reúnen en grupos, formando copos. En nuestro país, este tipo de fenómeno ocurre por influencia de las corrientes frías provenientes del norte, cuando las condiciones de temperatura y presión referidas a la altitud de un lugar, y el cambio de humedad en el ambiente, se conjugan para provocar la precipitación de la nieve.

Fuente: 
Universidad Nacional Autónoma de México (UNAM). Gobierno del distrito federal Secretaría de Protección Civil glosario de términos.

Sitio(s) web:
http://www.inb.unam.mx/stecnica/glosario.pdf
"
271,Nodos,"Nudos o encrucijadas que se dan en las redes urbanas.

Fuente: 
Revista Kobie. (SD). Glosario Terminológico. España: Bizkaia.

"
272,Norma técnica,"Conjunto de reglas científicas o tecnológicas de carácter obligatorio en las que se establecen los requisitos, especificaciones, parámetros y límites permisibles que deberán observarse en el desarrollo de actividades o en el uso y destino de bienes.

Fuente: 
Gobierno de la Delegación Miguel Hidalgo. (1997). PROGRAMA Delegacional de Desarrollo Urbano de Miguel Hidalgo. México: Delegación Miguel Hidalgo.

"
273,Núcleo agrario,"El ejido o comunidad constituido legalmente mediante: Resolución agraria administrativa, resolución jurisdiccional o; acuerdo de voluntades, de conformidad con lo establecido en los artículos 90 y 91 de la Ley Agraria.

Fuente: 
Instituto Nacional de Estadística y Geografía. (2013). Diccionario de Datos Catastrales Escala 1:1 000. México: INEGI.

"
274,Obra de conservación,"Aquella obra necesaria para el mantenimiento de la estructura en buen estado, evitando el deterioro producido por la constante acción de los agentes atmosféricos, por el uso o por el abandono.

Fuente: 
Estado Libre Asociado de Puerto Rico. Oficina del Gobernador. Junta de Planificación. Glosario de términos de los Reglamentos de Planificación. Pág. 87.

Sitio(s) web:
https://silo.tips/download/glosario-de-terminos-de
"
275,Obras de edificación,"Las acciones de adecuación física y espacial temporal o permanente hecha con el propósito de facilitar las actividades humanas que condicionan los usos y destinos del suelo.

Fuente: 
Gobierno del estado de Baja California. Ley de Desarrollo Urbano del Estado de Baja California (Art. 6. Frac. XV).

Sitio(s) web:
https://implan.tijuana.gob.mx/pdf/leyes/20191231_LEYDESUR.pdf
"
276,Obras de equipamiento urbano,"Las que, complementando las obras de urbanización, tienen por objeto proporcionar a los habitantes del fraccionamiento, condominio, desarrollo inmobiliario especial, subdivisión o fusión, cuando corresponda, los servicios relativos a la educación, salud, recreación, deportes, abasto, comercio y demás exigidos por las normas básicas que se establezcan.

Fuente: 
Secretaría de Gestión Urbanística y Ordenamiento Territorial. (2013). Código de Ordenamiento Territorial, Desarrollo Urbano y Vivienda para el Estado de Aguascalientes. Aguascalientes: Periódico Oficial del Estado de Aguascalientes.

"
277,Obras de urbanización,"Las obras de infraestructura a ejecutarse en el terreno materia del fraccionamiento. Según el caso, tales obras podrán referirse a: agua potable, drenaje pluvial y sanitario o drenaje combinado; energía eléctrica y alumbrado público; teléfonos, guarniciones y banquetas; pavimento de arroyo de vías y estacionamientos; y los sistemas de nomenclatura, señalamiento vial y trabajos de forestación y jardinería. Asimismo, cuando corresponda, las obras de infraestructura primaria, que se requieran para incorporar el fraccionamiento al área urbana y a sus servicios. Cuando se tratare de subdivisión, únicamente las que pudieran ser necesarias para complementar las obras existentes.

Fuente: 
Gobierno del Estado de San Luis Potosí. Ley de Desarrollo Urbano del Estado de San Luis Potosí (Art. 5. Frac. XX). Página 8.

Sitio(s) web:
http://lx.congresosanluis.gob.mx/ley/248.pdf
"
278,Obra pública,"La acción o resultado del trabajo a cargo de las dependencias o entidades del sector público municipal, estatal o federal, cuyo objeto sea la construcción, edificación, conservación o modificación de los bienes inmuebles de dominio público, ya sea por su naturaleza o por disposición de la ley.

Fuente: 
Secretaría de Gestión Urbana, Agua y Ordenamiento Territorial. (1994). Ley de Asentamientos Humanos y Desarrollo Urbano del Estado de Coahuila de Zaragoza. México: Congreso del Estado Independiente, libre y soberano de Coahuila de Zaragoza.

"
279,Observatorio ciudadano,"Organismo integrado con la participación plural de la sociedad, de las instituciones de investigación académica, de los colegios de profesionistas, de los organismos empresariales, de las organizaciones de la sociedad civil y el gobierno, para el estudio, investigación, organización y difusión de información y conocimientos sobre los problemas socioespaciales y los nuevos modelos de políticas urbanas, regionales y de gestión pública. Los observatorios ciudadanos tendrán a su cargo las tareas de analizar la evolución de los fenómenos socioespaciales, en la escala, ámbito, sector o fenómeno que corresponda según sus objetivos, las políticas públicas en la materia, la difusión sistemática y periódica, a través de indicadores y sistemas de información geográfica, de sus resultados e impactos.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano. (2020). REGLAS de Operación del Programa de Mejoramiento Urbano, para el ejercicio fiscal 2021. Diario Oficial de la Federación.

"
280,Observatorios urbanos,"Instrumento de ONU-HABITAT para impulsar el proceso de desarrollo urbano sustentable. Por medio de estos, se ponen en marcha foros permanentes de discusión entre los actores pertinentes para evaluar y monitorear las políticas públicas urbanas, y a partir de este ejercicio participativo, formular sugerencias y posibles correcciones de ruta a las esferas gubernamentales.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Programa Sectorial de Desarrollo Agrario, Territorial y Urbano 2013-2018.

Sitio(s) web:
http://www.dof.gob.mx/nota_detalle.php?codigo=5326473&fecha=16/12/2013
"
281,Ocupación del suelo,"Acción y efecto de tomar posesión física del suelo para desarrollar una determinada actividad productiva o de cualquier otra índole.

Fuente: 
Programa de Ordenación de la Zona Conurbada Intermunicipal, en su Modalidad de Centro de Población de Cuernavaca, Emiliano Zapata, Jiutepec, Temixco y Xochitepec.

Sitio(s) web:
http://sustentable.morelos.gob.mx/p-territorial/pozci-cvaca-glosario
"
282,Oferta de suelo,"Conjunto de procesos y acciones orientados a poner a disposición de la población (principalmente de escasos recursos) espacios territoriales, urbanizados o urbanizables, para revertir la ocupación ilegal (irregular) y el mercado informal de esos espacios. Los espacios territoriales con destino habitacional son los mayormente sujetos a la oferta.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Censo Nacional de Gobiernos Municipales y Delegacionales 2017. Módulo 2: Administración Pública Municipal o Delegacional. Glosario.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=cngmd2017
"
283,Ordenamiento ecológico,"Instrumento de política ambiental cuyo fin es regular o incluir el uso del suelo y las actividades productivas, con el fin de lograr la protección del medio ambiente y la preservación y el aprovechamiento sustentable de los recursos naturales, a partir del análisis de las tendencias de deterioro y las potencialidades de aprovechamiento de los mismos.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
284,Ordenamiento territorial de los asentamientos humanos,"El ordenamiento territorial es una política pública que tiene como objeto la ocupación y utilización racional del territorio como base espacial de las estrategias de desarrollo socioeconómico y la preservación ambiental.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano. (Art. 3. Frac. XXVI).

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5462755&fecha=28/11/2016
"
285,Palmar natural,"Asociación de plantas monopódicas pertenecientes a la familia Arecaceae (Palmae).

Fuente: 
Instituto Nacional de Estadística y Geografía. (2017). Guía para la interpretación de cartografía Uso del Suelo y Vegetación escala 1:250 000, serie VI. (México). INEGI.

"
286,Pantano,"Terreno con agua estancada, de poca profundidad y fondo cenagoso, que puede presentar vegetación hidrófila.

Fuente: 
Instituto Nacional de Estadística y Geografía. (2014). Diccionario de Datos de Cuerpos de Agua Escala 1:50 000. México: INEGI.

"
287,Parque industrial,"Superficie geográficamente delimitada, planeada y diseñada especialmente para la instalación de plantas industriales, donde se reúnen las mejores condiciones de ubicación, infraestructura y equipamiento.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos.

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
288,Parques nacionales,"Áreas con uno o más ecosistemas que se signifiquen por su belleza escénica, su valor científico, educativo, de recreo, su valor histórico, por la existencia de flora y fauna, por su aptitud para el desarrollo del turismo, o por otras razones análogas de interés general.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
289,Parques urbanos,"Las áreas verdes de uso público constituidas dentro del suelo urbano para preservar el equilibrio entre esta y los ecosistemas naturales de dos o más delegacionales políticas (LADF).

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
